,cereals_group
0,Almidón de arroz
1,Almidón de maíz
2,Almidón de trigo
3,Arroz
4,"Arroz hinchado, para el desayuno, enriquecido"
5,"Arroz integral, crudo"
6,"Arroz integral, hervido"
7,"Arroz, hervido"
8,"Avena, cruda"
9,Barrita cereales con chocolate
10,Barrita cereales con frutas
11,Barrita cereales maíz y trigo
12,Barrita cereales trigo y chocolate
13,Bizcocho
14,"Bollería, genérico"
15,"Cebada, cruda"
16,"Centeno, crudo"
17,Cereales base trigo y chocolate
18,Cereales desayuno base de arroz chocolateado
19,Cereales desayuno base de arroz y miel
20,"Cereales desayuno base de arroz, trigo y fruta"
21,Cereales desayuno base de maíz y miel
22,Cereales desayuno base de maíz y trigo
23,"Cereales desayuno base de maíz, trigo y avena"
24,Cereales desayuno base de trigo azucarado
25,Cereales desayuno base de trigo y arroz
26,Cereales desayuno base de trigo y frutas
27,Cereales desayuno base de trigo y miel
28,"Cereales desayuno base de trigo, avena, maiz y miel"
29,"Cereales desayuno base de trigo, avena, maíz, miel y nueces"
30,Cereales desayuno base muesli
31,"Cereales desayuno, maíz azucarado"
32,"Cereales para el desayuno, ricos en fibra, tipo ""all-bran"""
33,"Cereales, en polvo, solubles (eko)"
34,Churro
35,Croissant
36,Croissant de chocolate
37,Donut
38,"Donut, de chocolate"
39,Ensaimada
40,"Galleta ,tipo ""digestiva"", con chocolate"
41,Galleta salada
42,"Galleta, barquillo, con jalea de frutas"
43,"Galleta, cubierta de chocolate"
44,"Galleta, genérico"
45,"Galleta, tipo ""Digestiva"""
46,Galletas integrales
47,Galletas tipo maria
48,"Galletas, con chocolate, tipo ""cookies"""
49,"Galletas, de mantequilla"
50,Germen de trigo
51,Gofio
52,Harina de avena
53,"Harina de avena, cocida en agua"
54,Harina de cebada
55,Harina de centeno
56,Harina de maíz
57,Harina de trigo
58,"Harina de trigo, integral"
59,Magdalena
60,"Masa de hojaldre, cruda"
61,Mijo
62,Miso
63,Muesli
64,"Napolitana, rellena con crema de cacao"
65,Palmera
66,"Pan blanco, de barra"
67,"Pan blanco, de barra, sin sal"
68,"Pan blanco, de molde, tostado"
69,"Pan blanco, frito"
70,"Pan blanco, tipo ""baguette"""
71,"Pan blanco, tostado"
72,"Pan blanco, tostado sin sal"
73,Pan de avena
74,Pan de cebada
75,Pan de centeno
76,Pan de leche
77,Pan de maíz
78,Pan integral
79,"Pan integral, de molde, tostado"
80,"Pan integral, sin sal"
81,"Pan integral, tostado"
82,Pan rallado
83,Pan tostado integral
84,"Pan, tipo hamburguesa"
85,"Pasta alimenticia, con huevo, cruda"
86,"Pasta alimenticia, con huevo, hervida"
87,"Pasta alimenticia, con vegetales, cruda"
88,"Pasta alimenticia, cruda"
89,"Pasta alimenticia, integral, cruda"
90,"Pasta alimenticia, integral, hervida"
91,"Pasta alimenticia, rellena con carne, hervida"
92,Pastas de te
93,Pastel con fruta confitada
94,Pastel de chocolate
95,Pastel de manzana
96,"Quinoa, cruda"
97,Rosquilla
98,Salvado de trigo
99,Semilla de lino
100,"Sémola de trigo, cruda"
101,"Sémola de trigo, hervida"
102,Sobao
103,Torta de aceite
