,fats_oils_group
0,Aceite de algodón
1,Aceite de cacahuete
2,Aceite de coco
3,Aceite de colza
4,Aceite de germen de trigo
5,Aceite de girasol
6,Aceite de grano de uva
7,Aceite de hígado de bacalao
8,Aceite de lino
9,Aceite de nuez
10,Aceite de oliva
11,Aceite de oliva virgen extra
12,"Aceite de oliva virgen extra, producción ecologica"
13,Aceite de palma
14,Aceite de sésamo
15,Aceite de soja
16,Grasa de pollo
17,Lecitina de soja
18,Manteca
19,Mantequilla salada
20,"Mantequilla, baja en calorías"
21,Margarina de maíz
22,"Margarina, baja en calorías"
23,Mayonesa con aceite de girasol
24,"Mayonesa, baja en calorías"
25,Nata montada
