,fruits_group
0,Aceituna
1,"Aceituna negra, con hueso"
2,Aguacate
3,Aguacate congelado
4,Albaricoque
5,Arandano
6,Caqui
7,Cereza
8,"Chayote, crudo"
9,Chirimoya
10,"Ciruela, con piel, cruda"
11,"Ciruela, sin piel"
12,"Coco, desecado"
13,"Coco, fresco"
14,Dátil
15,"Frambuesa, cruda"
16,Fresa
17,Granada
18,"Grosella negra, cruda"
19,"Grosella, cruda"
20,"Guayaba, enlatada en almíbar"
21,"Guayaba, sin piel, cruda"
22,Higos y brevas
23,Kiwi
24,"Lima, cruda"
25,"Litchi, crudo"
26,"Macedonia de frutas, conserva en su jugo"
27,Mandarina
28,"Mandarina, congelada"
29,"Mango, crudo"
30,Manzana
31,Melocotón
32,Melocotón en almíbar
33,"Melocotón, desecado"
34,Melón
35,"Membrillo, crudo"
36,Naranja
37,Nectarina
38,"Níspero, con piel, crudo"
39,"Nispero, conserva en su jugo"
40,"Nispero, sin piel , congelado"
41,"Papaya, cruda"
42,Paraguaya
43,Pasta de fruta
44,Pera
45,"Pera, enlatada en almíbar"
46,Piña
47,Piña en almíbar
48,"Piña, enlatada en su jugo"
49,Plátano
50,Pomelo
51,Sandía
52,Uva blanca
53,"Uva blanca, congelada"
54,"Uva negra, cruda"
55,Uva pasa
