,legumes_group
0,"Almendra, cruda"
1,"Almendra, cruda, con cáscara"
2,"Almendra, frita, salada"
3,"Almendra, tostada"
4,Altramuz
5,"Alubia blanca, en conserva"
6,"Alubia blanca, seca, cruda"
7,"Alubia negra, seca, remojada, hervida"
8,"Anacardo, crudo"
9,Avellana
10,"Avellana, cruda, con cáscara"
11,"Cacahuete, crudo, con cáscara"
12,"Cacahuete, frito, salado"
13,"Cacahuete, tostado, salado"
14,"Castaña, cruda"
15,"Castaña, tostada"
16,"Chufa, cruda"
17,Crema de almendras
18,Crema de cacahuete
19,Frutos secos
20,"Garbanzo, en conserva"
21,"Garbanzo, hervido"
22,"Garbanzo, seco, crudo"
23,"Guisante, congelado, crudo"
24,"Guisante, congelado, hervido"
25,"Guisante, seco, crudo"
26,Guisantes en conserva
27,"Haba, fresca"
28,"Haba, frita"
29,"Haba, seca"
30,"Haba, seca, remojada, hervida"
31,Harina de soja
32,Judía blanca
33,Judía pinta
34,"Judía verde, cruda"
35,"Judías blancas, cocidas"
36,"Lenteja, en conserva"
37,"Lenteja, hervida"
38,"Lenteja, seca, cruda"
39,Nuez
40,"Nuez, cruda, con cáscara"
41,Piñon
42,"Piñón, crudo, con cáscara"
43,Pipa de calabaza
44,Pipa de girasol
45,"Pipas de girasol, peladas, con sal"
46,Pistacho
47,"Sésamo, semilla"
48,"Soja, fresca"
49,"Soja, frita"
50,"Soja, seca, cruda"
51,"Soja, seca, remojada, hervida"
