,sweets_group
0,Azúcar blanca
1,"Azúcar, moreno"
2,"Barra chocolate, tipo ""bounty"""
3,"Barra de chocolate, tipo ""Kit-kat"""
4,"Barra de chocolate, tipo ""Mars"""
5,Bombón
6,"Cacao en polvo, azucarado"
7,Caramelo
8,"Chicle, sin azúcar"
9,Chocolate blanco
10,Chocolate con leche
11,Chocolate con leche y almendras
12,Chocolate con leche y arroz
13,Chocolate con nueces de macadamia
14,"Chocolate negro, con almendras"
15,"Chocolate negro, con azúcar"
16,"Chocolate, negro"
17,"Confitura, frutas s/e, baja en calorías"
18,Crema de chocolate con avellanas
19,Crema inglesa
20,Crema pastelera
21,Fructosa
22,"Gominola, genérica"
23,Jalea real
24,Mermelada de albaricoque
25,"Mermelada de albaricoque y melocotón, baja en calorías"
26,Mermelada de ciruela
27,Mermelada de frambuesa
28,Mermelada de fresa
29,"Mermelada de fresa, baja en calorías"
30,Mermelada de grosella roja
31,Mermelada de mora
32,Mermelada de naranja
33,Miel
34,Pastel
35,Regaliz
