,vegetables_group
0,"Acelga, cruda"
1,"Acelga, en conserva"
2,"Acelgas, hervidas"
3,"Achicoria, cruda"
4,Ajo
5,"Ajo, frito"
6,Albahaca
7,"Alcachofa, cruda"
8,Alcachofas en conserva
9,Alcaparra
10,"Apio, crudo"
11,"Apio, en conserva en salmuera"
12,"Bambú, crudo"
13,Berenjena
14,"Berenjena, frita, en aceite de girasol"
15,"Berro, crudo"
16,"Boniato, crudo"
17,Borraja
18,"Brécol, crudo"
19,"Brécol, hervido"
20,Calabacín
21,"Calabacín, asado"
22,"Calabaza, cruda"
23,"Calabaza, hervida"
24,Canonigos
25,Cardo
26,"Cardo, tallo, en conserva"
27,Cebolla
28,"Cebolla, asada"
29,"Cebolla, hervida"
30,"Cebollino, crudo"
31,Champiñon
32,Champiñones en conserva
33,"Col blanca, cruda"
34,"Col de bruselas, cruda"
35,"Col lombarda, hervida"
36,"Col rizada, cruda"
37,"Coliflor, congelada, cruda"
38,"Coliflor, hervida"
39,Endibia
40,Ensalada
41,Escarola
42,"Espárrago, verde"
43,Esparragos blancos en conserva
44,"Espinaca, en conserva"
45,"Espinaca, hervida"
46,"Espinaca, picada, congelada, cruda"
47,Grelo
48,"Judía verde, congelada, cruda"
49,"Judia verde, hervida"
50,Judias verdes en conserva
51,Lechuga
52,Lombarda
53,"Maíz, en mazorca, congelado, crudo"
54,"Maíz, en mazorca, crudo"
55,"Menestra de verduras, congelada"
56,"Nabo, pelado, crudo"
57,"Níscalo, crudo"
58,"Palmito, en conserva"
59,"Patata, asada"
60,"Patata, cruda"
61,"Patata, frita con aceite s/e, sin sal"
62,"Patata, hervida"
63,"Patata, prefrita, congelada"
64,"Patata, salteada con aceite girasol"
65,Pepinillos en vinagre
66,Pepino
67,"Pimiento morrón, en conserva"
68,"Pimiento rojo, crudo"
69,"Pimiento, frito"
70,"Puerro, crudo y congelado"
71,"Puerro, en conserva"
72,"Puré de patata y queso, en copos"
73,"Puré de patata, con verduras, en copos"
74,"Puré de patata, en copos"
75,"Puré de patatas y champiñones, en copos"
76,"Puré, de patata, con leche"
77,Rábano
78,"Remolacha, en conserva"
79,Repollo
80,Rúcula
81,Seta
82,"Seta, plancha"
83,"Soja, germinada, en conserva"
84,"Tapioca, hervida"
85,Tomate
86,"Tomate, asado"
87,"Tomate, maduro, pelado y triturado, enlatado"
88,"Tomate, maduro, puré"
89,"Trufa, cruda"
